university,type,city,province,faculty,title,level,mode,duration_months,fees_local,fees_international,app_fee,deadline,min_points,required_subjects,description
Great Zimbabwe University,public,,,,"+263 39 2266648/58/60/63, +263782780662",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"+263 39 2266648/58/60/63, +263782780662"
Great Zimbabwe University,public,,,,information@gzu.ac.zw,undergraduate,full-time,48,0,0,0,2027-01-04,8,,information@gzu.ac.zw
Great Zimbabwe University,public,,,,Careers,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Careers
Great Zimbabwe University,public,,,,Newsletter,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Newsletter
Great Zimbabwe University,public,,,,Documents & Policies,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Documents & Policies
Great Zimbabwe University,public,,,,Exam Timetable,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Exam Timetable
Great Zimbabwe University,public,,,,Alumni,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Alumni
Great Zimbabwe University,public,,,,Vice chancellor’s welcome note,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Vice chancellor’s welcome note
Great Zimbabwe University,public,,,,History,undergraduate,full-time,48,0,0,0,2027-01-04,8,,History
Great Zimbabwe University,public,,,,"Vision, Mission & Core values",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"Vision, Mission & Core values"
Great Zimbabwe University,public,,,,GZU Statutes,undergraduate,full-time,48,0,0,0,2027-01-04,8,,GZU Statutes
Great Zimbabwe University,public,,,,GZU Annual Report,undergraduate,full-time,48,0,0,0,2027-01-04,8,,GZU Annual Report
Great Zimbabwe University,public,,,,Council Charter,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Council Charter
Great Zimbabwe University,public,,,,Principal Offices,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Principal Offices
Great Zimbabwe University,public,,,,Student Health,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Student Health
Great Zimbabwe University,public,,,,Student Counselling,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Student Counselling
Great Zimbabwe University,public,,,,Chaplaincy Services,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Chaplaincy Services
Great Zimbabwe University,public,,,,Sporting and Recreation,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Sporting and Recreation
Great Zimbabwe University,public,,,,Amendments,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Amendments
Great Zimbabwe University,public,,,,Latest Advertisement,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Latest Advertisement
Great Zimbabwe University,public,,,,Application Forms,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Application Forms
Great Zimbabwe University,public,,,,Application Status,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Application Status
Great Zimbabwe University,public,,,,Undergraduate Programmes,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Undergraduate Programmes
Great Zimbabwe University,public,,,,Postgraduate Programmes,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Postgraduate Programmes
Great Zimbabwe University,public,,,,International Student,undergraduate,full-time,48,0,0,0,2027-01-04,8,,International Student
Great Zimbabwe University,public,,,,Gender and Cultural Studies,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Gender and Cultural Studies
Harare Polytechnic,public,,,,Disclaimer,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Disclaimer
Harare Polytechnic,public,,,,List of Best Hospitals in Kenya 2026-2026,undergraduate,full-time,48,0,0,0,2027-01-04,8,,List of Best Hospitals in Kenya 2026-2026
Harare Polytechnic,public,,,,UEW Application Deadline for 2026/2027,undergraduate,full-time,48,0,0,0,2027-01-04,8,,UEW Application Deadline for 2026/2027
Harare Polytechnic,public,,,,Universities and College in Zambia,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Universities and College in Zambia
Harare Polytechnic,public,,,,Universities and Colleges in Kenya,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Universities and Colleges in Kenya
Harare Polytechnic,public,,,,Universities and Colleges in Kenya Courses 2026/2027,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Universities and Colleges in Kenya Courses 2026/2027
Harare Polytechnic,public,,,,Universities and Colleges In Malawi,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Universities and Colleges In Malawi
Lupane State University,public,,,,Bachelor of Science Honours Degree in Natural Resources Management.,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Science Honours Degree in Natural Resources Management.
Lupane State University,public,,,,Bachelor of Sciences Honours Degree in Wildlife Resources Management,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Sciences Honours Degree in Wildlife Resources Management
Lupane State University,public,,,,Bachelor of Commerce Honours Degree in Real Estate Management,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Commerce Honours Degree in Real Estate Management
Lupane State University,public,,,,Bachelor of Science Honours Degree in Tourism and Hospitality Management,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Science Honours Degree in Tourism and Hospitality Management
Lupane State University,public,,,,Bachelor of Commerce Honours Degree in Accounting and Finance,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Commerce Honours Degree in Accounting and Finance
Lupane State University,public,,,,Bachelor of Science Honours Degree in Human Resource Management,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Science Honours Degree in Human Resource Management
Lupane State University,public,,,,Bachelor of Commerce Honours Degree in Entrepreneurship and Business Management,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Commerce Honours Degree in Entrepreneurship and Business Management
Lupane State University,public,,,,Bachelor of Science Honours Degree in Economics,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Science Honours Degree in Economics
Lupane State University,public,,,,Bachelor of Commerce Special Honours Degree in Digital Marketing,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Commerce Special Honours Degree in Digital Marketing
Lupane State University,public,,,,Bachelor of Agricultural Sciences Honours Degree in Animal Science and Rangeland Management,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Agricultural Sciences Honours Degree in Animal Science and Rangeland Management
Lupane State University,public,,,,Bachelor of Science Honours Degree in Forest Resources Management,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Science Honours Degree in Forest Resources Management
Women's University in Africa,private,,,,University Policies,undergraduate,full-time,48,0,0,0,2027-01-04,8,,University Policies
Women's University in Africa,private,,,,Faculties,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Faculties
Women's University in Africa,private,,,,"Research, Innovation and Post Graduate Centre",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"Research, Innovation and Post Graduate Centre"
Women's University in Africa,private,,,,International Programmes and Global Initiatives,undergraduate,full-time,48,0,0,0,2027-01-04,8,,International Programmes and Global Initiatives
Women's University in Africa,private,,,,Library,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Library
Women's University in Africa,private,,,,Student Affairs,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Student Affairs
Women's University in Africa,private,,,,Gender and Diversity Center,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Gender and Diversity Center
Women's University in Africa,private,,,,STEM CENTRE,undergraduate,full-time,48,0,0,0,2027-01-04,8,,STEM CENTRE
Women's University in Africa,private,,,,Business,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Business
Women's University in Africa,private,,,,"Our Power, Our Planet” Sustainability Campaign at Women’s University in Africa Sustainability",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"Our Power, Our Planet” Sustainability Campaign at Women’s University in Africa Sustainability"
Women's University in Africa,private,,,,News,undergraduate,full-time,48,0,0,0,2027-01-04,8,,News
Women's University in Africa,private,,,,5-6 Bradford Street BelmontBulawayo,undergraduate,full-time,48,0,0,0,2027-01-04,8,,5-6 Bradford Street BelmontBulawayo
Women's University in Africa,private,,,,09-63649,undergraduate,full-time,48,0,0,0,2027-01-04,8,,09-63649
Women's University in Africa,private,,,,info@wua.ac.zw,undergraduate,full-time,48,0,0,0,2027-01-04,8,,info@wua.ac.zw
Women's University in Africa,private,,,,08:00 - 16:00,undergraduate,full-time,48,0,0,0,2027-01-04,8,,08:00 - 16:00
Women's University in Africa,private,,,,"Mon, Tues, Wed, Thur, Fri",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"Mon, Tues, Wed, Thur, Fri"
Women's University in Africa,private,,,,"549 Arcturus Road, Manresa ParkHarare",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"549 Arcturus Road, Manresa ParkHarare"
Women's University in Africa,private,,,,+263-242-459647/459601/08688002924,undergraduate,full-time,48,0,0,0,2027-01-04,8,,+263-242-459647/459601/08688002924
Women's University in Africa,private,,,,"39 Main Street, MaronderaMarondera",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"39 Main Street, MaronderaMarondera"
Women's University in Africa,private,,,,+263 279 22209-13,undergraduate,full-time,48,0,0,0,2027-01-04,8,,+263 279 22209-13
Women's University in Africa,private,,,,"Sarudzai Complex, Mupamombe Road, Rimuka TownshipKadoma",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"Sarudzai Complex, Mupamombe Road, Rimuka TownshipKadoma"
Women's University in Africa,private,,,,+263773408549/08688002924,undergraduate,full-time,48,0,0,0,2027-01-04,8,,+263773408549/08688002924
Women's University in Africa,private,,,,WUA Academic Complex 1515 Pine StreetMarondera,undergraduate,full-time,48,0,0,0,2027-01-04,8,,WUA Academic Complex 1515 Pine StreetMarondera
Women's University in Africa,private,,,,"No 122 Upper 3rd Street, 11th AvenueMutare",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"No 122 Upper 3rd Street, 11th AvenueMutare"
