university,type,city,province,faculty,title,level,mode,duration_months,fees_local,fees_international,app_fee,deadline,min_points,required_subjects,description
Lupane State University,public,,,,Bachelor of Science Honours Degree,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Science Honours Degree in Natural Resources Management.
Lupane State University,public,,,,Bachelor of Sciences Honours Degree,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Sciences Honours Degree in Wildlife Resources Management
Lupane State University,public,,,,Bachelor of Commerce Honours Degree,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Commerce Honours Degree in Real Estate Management
Lupane State University,public,,,,Bachelor of Commerce Special Honours Degree,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Commerce Special Honours Degree in Digital Marketing
Lupane State University,public,,,,Bachelor of Commerce Honours Degree In Banking And Finance,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Commerce Honours Degree In Banking And Finance
Lupane State University,public,,,,Bachelor of Agricultural Sciences Honours Degree,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bachelor of Agricultural Sciences Honours Degree in Animal Science and Rangeland Management
Lupane State University,public,,,,AFC Bank,undergraduate,full-time,48,0,0,0,2027-01-04,8,,AFC Bank
Lupane State University,public,,,,CABS Bank,undergraduate,full-time,48,0,0,0,2027-01-04,8,,CABS Bank
Lupane State University,public,,,,CBZ Bank,undergraduate,full-time,48,0,0,0,2027-01-04,8,,CBZ Bank
Lupane State University,public,,,,FBC Bank,undergraduate,full-time,48,0,0,0,2027-01-04,8,,FBC Bank
Harare Polytechnic,public,,,,Privacy Policy,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Privacy Policy
Harare Polytechnic,public,,,,Best Universities,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Best Universities and Colleges in Kenya Admissions 2026
Harare Polytechnic,public,,,,Bursaries,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Bursaries for Specific Courses Opening in 2026/2027
Harare Polytechnic,public,,,,Copperbelt University Homepage,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Copperbelt University Homepage – www.cbu.ac.zm
Harare Polytechnic,public,,,,Disclaimer,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Disclaimer
Harare Polytechnic,public,,,,Government Bursaries,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Government Bursaries in South Africa Opening in 2026/2027
Harare Polytechnic,public,,,,Kaimosi Friends University College Homepage,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Kaimosi Friends University College Homepage
Harare Polytechnic,public,,,,List,undergraduate,full-time,48,0,0,0,2027-01-04,8,,List of Banks in Kenya 2022
Harare Polytechnic,public,,,,NGO Bursaries in South Africa Opening in 2026/2027,undergraduate,full-time,48,0,0,0,2027-01-04,8,,NGO Bursaries in South Africa Opening in 2026/2027
Harare Polytechnic,public,,,,Student Loans,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Student Loans in South Africa Currently Open for 2026/2027
Harare Polytechnic,public,,,,Study,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Study in Ghana – Apply for Admissions in 2026
Harare Polytechnic,public,,,,Tom Mboya University College Homepage,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Tom Mboya University College Homepage – www.tmuc.ac.ke
Harare Polytechnic,public,,,,Turkana University College Homepage,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Turkana University College Homepage – www.tuc.ac.ke
Harare Polytechnic,public,,,,UEW Application Deadline for 2026/2027,undergraduate,full-time,48,0,0,0,2027-01-04,8,,UEW Application Deadline for 2026/2027
Harare Polytechnic,public,,,,Universities,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Universities and College in Zambia
Great Zimbabwe University,public,,,,REGISTRATION NOTICE: EDUCATION HARARE COHORT DATES,undergraduate,full-time,48,0,0,0,2027-01-04,8,,REGISTRATION NOTICE: EDUCATION HARARE COHORT DATES
Great Zimbabwe University,public,,,,GRADUATION NOTICE: NEW DATES,undergraduate,full-time,48,0,0,0,2027-01-04,8,,GRADUATION NOTICE: NEW DATES
Great Zimbabwe University,public,,,,ACCOMMODATION BOOKING FOR CONVENTIONAL STUDENTS,undergraduate,full-time,48,0,0,0,2027-01-04,8,,ACCOMMODATION BOOKING FOR CONVENTIONAL STUDENTS
Great Zimbabwe University,public,,,,GZU ADVERT FOR AUGUST 2026 INTAKE,undergraduate,full-time,48,0,0,0,2027-01-04,8,,GZU ADVERT FOR AUGUST 2026 INTAKE
Great Zimbabwe University,public,,,,THE UNDERGRADUATE PROSPECTUS FOR A FIRST DEGREE AT GZU,undergraduate,full-time,48,0,0,0,2027-01-04,8,,THE UNDERGRADUATE PROSPECTUS FOR A FIRST DEGREE AT GZU
Great Zimbabwe University,public,,,,Undergraduate Courses,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Undergraduate Courses
Great Zimbabwe University,public,,,,Schools,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Schools
Great Zimbabwe University,public,,,,International Students,undergraduate,full-time,48,0,0,0,2027-01-04,8,,International Students
Great Zimbabwe University,public,,,,Student Life,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Student Life
Great Zimbabwe University,public,,,,Calender of Events,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Calender of Events
Women's University in Africa,public,,,,University Policies,undergraduate,full-time,48,0,0,0,2027-01-04,8,,University Policies
Women's University in Africa,public,,,,Faculties,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Faculties
Women's University in Africa,public,,,,"Research, Innovation and Post Graduate Centre",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"Research, Innovation and Post Graduate Centre"
Women's University in Africa,public,,,,International Programmes and Global Initiatives,undergraduate,full-time,48,0,0,0,2027-01-04,8,,International Programmes and Global Initiatives
Women's University in Africa,public,,,,Library,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Library
Women's University in Africa,public,,,,Student Affairs,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Student Affairs
Women's University in Africa,public,,,,Gender and Diversity Center,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Gender and Diversity Center
Women's University in Africa,public,,,,STEM CENTRE,undergraduate,full-time,48,0,0,0,2027-01-04,8,,STEM CENTRE
Women's University in Africa,public,,,,Business,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Business
Women's University in Africa,public,,,,"Our Power, Our Planet” Sustainability Campaign at Women’s University in Africa Sustainability",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"Our Power, Our Planet” Sustainability Campaign at Women’s University in Africa Sustainability"
Women's University in Africa,public,,,,Notices,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Notices
Women's University in Africa,public,,,,"Bulawayo Campus 5-6 Bradford Street BelmontBulawayo 09-63649 info@wua.ac.zw Mon, Tues, Wed, Thur, Fri Directions",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"Bulawayo Campus 5-6 Bradford Street BelmontBulawayo 09-63649 info@wua.ac.zw Mon, Tues, Wed, Thur, Fri Directions"
Women's University in Africa,public,,,,5-6 Bradford Street BelmontBulawayo,undergraduate,full-time,48,0,0,0,2027-01-04,8,,5-6 Bradford Street BelmontBulawayo
Women's University in Africa,public,,,,09-63649,undergraduate,full-time,48,0,0,0,2027-01-04,8,,09-63649
Women's University in Africa,public,,,,info@wua.ac.zw,undergraduate,full-time,48,0,0,0,2027-01-04,8,,info@wua.ac.zw
Women's University in Africa,public,,,,"Mon, Tues, Wed, Thur, Fri",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"Mon, Tues, Wed, Thur, Fri"
Women's University in Africa,public,,,,"Harare Campus 549 Arcturus Road, Manresa ParkHarare +263-242-459647/459601/08688002924 info@wua.ac.zw Mon, Tues, Wed, Thur, Fri Directions",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"Harare Campus 549 Arcturus Road, Manresa ParkHarare +263-242-459647/459601/08688002924 info@wua.ac.zw Mon, Tues, Wed, Thur, Fri Directions"
Women's University in Africa,public,,,,"549 Arcturus Road, Manresa ParkHarare",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"549 Arcturus Road, Manresa ParkHarare"
Women's University in Africa,public,,,,+263-242-459647/459601/08688002924,undergraduate,full-time,48,0,0,0,2027-01-04,8,,+263-242-459647/459601/08688002924
Women's University in Africa,public,,,,"HopeFay Hotel & Conference Centre 39 Main Street, MaronderaMarondera +263 279 22209-13 info@wua.ac.zw Directions",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"HopeFay Hotel & Conference Centre 39 Main Street, MaronderaMarondera +263 279 22209-13 info@wua.ac.zw Directions"
Women's University in Africa,public,,,,"39 Main Street, MaronderaMarondera",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"39 Main Street, MaronderaMarondera"
Women's University in Africa,public,,,,+263 279 22209-13,undergraduate,full-time,48,0,0,0,2027-01-04,8,,+263 279 22209-13
Women's University in Africa,public,,,,"Kadoma Campus Sarudzai Complex, Mupamombe Road, Rimuka TownshipKadoma +263773408549/08688002924 info@wua.ac.zw Mon, Tues, Wed, Thur, Fri Directions",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"Kadoma Campus Sarudzai Complex, Mupamombe Road, Rimuka TownshipKadoma +263773408549/08688002924 info@wua.ac.zw Mon, Tues, Wed, Thur, Fri Directions"
Women's University in Africa,public,,,,"Sarudzai Complex, Mupamombe Road, Rimuka TownshipKadoma",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"Sarudzai Complex, Mupamombe Road, Rimuka TownshipKadoma"
Women's University in Africa,public,,,,+263773408549/08688002924,undergraduate,full-time,48,0,0,0,2027-01-04,8,,+263773408549/08688002924
Women's University in Africa,public,,,,"Marondera Campus WUA Academic Complex 1515 Pine StreetMarondera info@wua.ac.zw Mon, Tues, Wed, Thur, Fri Directions",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"Marondera Campus WUA Academic Complex 1515 Pine StreetMarondera info@wua.ac.zw Mon, Tues, Wed, Thur, Fri Directions"
Women's University in Africa,public,,,,WUA Academic Complex 1515 Pine StreetMarondera,undergraduate,full-time,48,0,0,0,2027-01-04,8,,WUA Academic Complex 1515 Pine StreetMarondera
Women's University in Africa,public,,,,"Mutare Campus No 122 Upper 3rd Street, 11th AvenueMutare 020-60380 / 0774133809 / 0773226556 info@wua.ac.zw Mon, Tues, Wed, Thur, Fri Directions",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"Mutare Campus No 122 Upper 3rd Street, 11th AvenueMutare 020-60380 / 0774133809 / 0773226556 info@wua.ac.zw Mon, Tues, Wed, Thur, Fri Directions"
Women's University in Africa,public,,,,"No 122 Upper 3rd Street, 11th AvenueMutare",undergraduate,full-time,48,0,0,0,2027-01-04,8,,"No 122 Upper 3rd Street, 11th AvenueMutare"
Women's University in Africa,public,,,,020-60380 / 0774133809 / 0773226556,undergraduate,full-time,48,0,0,0,2027-01-04,8,,020-60380 / 0774133809 / 0773226556
Women's University in Africa,public,,,,Calendar,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Calendar
Women's University in Africa,public,,,,How to Apply,undergraduate,full-time,48,0,0,0,2027-01-04,8,,How to Apply
Women's University in Africa,public,,,,WUA Business,undergraduate,full-time,48,0,0,0,2027-01-04,8,,WUA Business
Women's University in Africa,public,,,,Supplier Invitation for Quotations & Tenders,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Supplier Invitation for Quotations & Tenders
Women's University in Africa,public,,,,Vacancies,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Vacancies
Women's University in Africa,public,,,,Webmail,undergraduate,full-time,48,0,0,0,2027-01-04,8,,Webmail
Women's University in Africa,public,,,,myWUA,undergraduate,full-time,48,0,0,0,2027-01-04,8,,myWUA
Women's University in Africa,public,,,,myHope,undergraduate,full-time,48,0,0,0,2027-01-04,8,,myHope
Women's University in Africa,public,,,,myStudentID,undergraduate,full-time,48,0,0,0,2027-01-04,8,,myStudentID
