university,type,city,province,faculty,title,level,mode,duration_months,fees_local,fees_international,app_fee,deadline,min_points,required_subjects,description
Midlands State University,public,Gweru,Midlands,,Academic Calendar,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,International Relations,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Short Courses,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,About Us 	Vice Chancellor’s Welcome Note,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Vice Chancellor’s Welcome Note,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Our Mission Statement,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,University Leadership 			Principal Officers,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Principal Officers,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Council Members,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Administration 			Information Technology Services,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Information Technology Services,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,The Secretariat,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Bursar’s Department,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Marketing and Communications,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Performance Contracting and Compliance Directorate,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Quality Assurance and Professional Development Directorate,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,MSU Client Service Charter,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Strategic Documents 			Student Ordinance,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Student Ordinance,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,University Act,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,MSU Student Handbook,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,MSU Strategic Plan,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,University Policy Documents,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Annual Reports,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Admissions,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Academics,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Our Faculties,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Our Faculties,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,"Agriculture, Environment and Natural Resources Management",undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Arts and Humanities,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,"Built, Environment, Art & Design",undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Business Sciences,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Engineering & Geosciences,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Medicine & Health Sciences,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Science & Technology,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Social Sciences,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Academic Calendar,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Undergraduate Programmes,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Postgraduate Programmes,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Application Forms,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Research Institutes & Centres,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Research & Innovation,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Cannabis Centre,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,MSU Gender Institute,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Centre for Public Policy and Devolution,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Tugwi-Mukosi Multidisciplinary Research Institute,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Business Units 	Agrobusiness Division,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Agrobusiness Division,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,MSU Enterprises,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,MSU National Language Institute,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,National Pathology Research and Diagnostic Centre,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Research & Innovation,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Student Life,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,News & Media 	Notice Board,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Notice Board,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,University Events,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Admissions,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Undergraduate Programmes,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,"Agriculture, Environment and Natural Resources Management",undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Arts and Humanities,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,"Built, Environment, Art & Design",undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Business Sciences,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Engineering & Geosciences,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Medicine & Health Sciences,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Science & Technology,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Social Sciences,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,University Policy Documents,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Bursar's Department,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,E-learning Portal,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Banking Details,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Data Protection Office,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Our Campuses,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Contact Us,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,MSU Data Privacy Policy,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Agribusiness Division,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,MSU Enterprises,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,MSU National Language Institute,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,National Pathology Research and Diagnostic Centre,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Research & Innovation,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Research Support,undergraduate,full-time,48,0,0,30,,0,,
Midlands State University,public,Gweru,Midlands,,Research Funding Opportunities,undergraduate,full-time,48,0,0,30,,0,,
